rank,country,points
1,France,1877.32
2,Spain,1876.4
3,Argentina,1874.81
4,England,1825.97
5,Portugal,1763.83
6,Brazil,1761.16
7,Netherlands,1757.87
8,Morocco,1755.87
9,Belgium,1734.71
10,Germany,1730.37
11,Croatia,1717.07
12,Italy,1700.37
13,Colombia,1693.09
14,Senegal,1688.99
15,Mexico,1681.03
16,USA,1673.13
17,Uruguay,1673.07
18,Japan,1660.43
19,Switzerland,1649.4
20,Denmark,1620.81
21,IR Iran,1615.3
22,Türkiye,1599.04
23,Ecuador,1594.78
24,Austria,1593.45
25,Korea Republic,1588.66
26,Nigeria,1585.09
27,Australia,1580.67
28,Algeria,1564.26
29,Egypt,1563.24
30,Canada,1556.48
31,Norway,1550.94
32,Ukraine,1546.88
33,Panama,1540.64
34,Côte d'Ivoire,1532.98
35,Poland,1528
36,Russia,1525.6
37,Wales,1524.29
38,Sweden,1514.77
39,Serbia,1508.65
40,Paraguay,1503.5
41,Czechia,1501.38
42,Hungary,1500.58
43,Scotland,1498.35
44,Tunisia,1483.05
45,Cameroon,1481.24
46,Congo DR,1478.35
47,Greece,1475.82
48,Slovakia,1473.94
49,Venezuela,1468.05
50,Uzbekistan,1465.34
51,Costa Rica,1459.9
52,Mali,1459.13
53,Peru,1455.87
54,Chile,1455.28
55,Qatar,1454.96
56,Romania,1451.16
57,Iraq,1447.14
58,Slovenia,1446.44
59,Republic of Ireland,1436.63
60,South Africa,1429.73
61,Saudi Arabia,1421.43
62,Burkina Faso,1412.49
63,Jordan,1391.45
64,Albania,1388.06
65,Bosnia and Herzegovina,1385.84
66,Honduras,1380.27
67,North Macedonia,1372.04
68,United Arab Emirates,1370.47
69,Cabo Verde,1366.13
70,Northern Ireland,1362.16
71,Jamaica,1358
72,Georgia,1350.18
73,Finland,1346.41
74,Ghana,1346.31
75,Iceland,1345.07
76,Bolivia,1329.42
77,Israel,1328.33
78,Kosovo,1318.83
79,Oman,1313.46
80,Guinea,1300.01
81,Montenegro,1295.52
82,Curaçao,1294.65
83,Haiti,1291.71
84,Syria,1288.56
85,New Zealand,1281.57
86,Bulgaria,1278.9
87,Gabon,1272.51
88,Uganda,1264.09
89,Angola,1263.1
90,Benin,1258.98
91,Bahrain,1258.53
92,Zambia,1255.82
93,Thailand,1252.14
94,China PR,1251.6
95,Palestine,1244.73
96,Guatemala,1243.47
97,Belarus,1235.82
98,Luxembourg,1227.77
99,Vietnam,1225.68
100,El Salvador,1225.26
101,Mozambique,1224.31
102,Trinidad and Tobago,1222.94
103,Tajikistan,1221.78
104,Madagascar,1203.76
105,Equatorial Guinea,1195.2
106,Armenia,1191.42
107,Kyrgyz Republic,1191.14
108,Lebanon,1187.96
109,Comoros,1187.91
110,Kazakhstan,1182.96
111,Kenya,1182.23
112,Libya,1182.08
113,Tanzania,1180.27
114,Niger,1179.66
115,Mauritania,1170.72
116,The Gambia,1160.38
117,Sudan,1157.22
118,Korea DPR,1151.05
119,Sierra Leone,1148.98
120,Namibia,1148.84
121,Togo,1147.31
122,Indonesia,1144.88
123,Faroe Islands,1137.14
124,Azerbaijan,1136.67
125,Suriname,1132.43
126,Cyprus,1128.33
127,Malawi,1128.03
128,Rwanda,1126.62
129,Estonia,1121.1
130,Zimbabwe,1118.12
131,Nicaragua,1115.13
132,Guinea-Bissau,1108.38
133,Congo,1105.96
134,Kuwait,1105.1
135,Philippines,1094.1
136,India,1091.03
137,Latvia,1090.57
138,Malaysia,1086.22
139,Central African Republic,1083.57
140,Liberia,1079.02
141,Turkmenistan,1078.65
142,Burundi,1078.01
143,Dominican Republic,1077.95
144,Ethiopia,1071.55
145,Lesotho,1067.13
146,Botswana,1063.63
147,Singapore,1059.53
148,Lithuania,1058.42
149,Yemen,1049.49
150,Guyana,1049.32
151,New Caledonia,1036.95
152,St Kitts and Nevis,1036.33
153,Solomon Islands,1031.89
154,Fiji,1029.7
155,Hong Kong China,1026.63
156,Puerto Rico,1026.11
157,Tahiti,1019.04
158,Myanmar,1011.88
159,Moldova,1004.16
160,Vanuatu,997.01
161,Malta,987.73
162,Antigua and Barbuda,986.58
163,Grenada,982.57
164,Cuba,981.42
165,Eswatini,979.01
166,Bermuda,976.87
167,St Lucia,976.71
168,Papua New Guinea,974.9
169,Afghanistan,972.75
170,South Sudan,970.94
171,St Vincent and the Grenadines,968.27
172,Maldives,954.93
173,Andorra,945.34
174,Chinese Taipei,923.78
175,Montserrat,916.75
176,Nepal,914.54
177,Cambodia,911.54
178,Mauritius,911.49
179,Barbados,909.89
180,Belize,907
181,Bangladesh,899.53
182,Dominica,897.69
183,Chad,896.85
184,Eritrea,887.06
185,Laos,885.03
186,Bhutan,880.55
187,Mongolia,879.75
188,Cook Islands,877.53
189,Aruba,877.3
190,Samoa,876.41
191,Sri Lanka,871.82
192,American Samoa,871.61
193,Brunei Darussalam,863.09
194,Macau,858.03
195,Cayman Islands,855.45
196,São Tomé and Príncipe,855.44
197,Djibouti,853.58
198,Somalia,839.17
199,Tonga,835.64
200,Timor-Leste,825.64
201,Guam,825.43
202,Pakistan,824.6
203,Gibraltar,810.14
204,Seychelles,804.16
205,Turks and Caicos Islands,803.98
206,Liechtenstein,803.57
207,Bahamas,786.82
208,British Virgin Islands,782.14
209,US Virgin Islands,779.76
210,Anguilla,760.25
211,San Marino,726.33
